"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4076,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4221,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4455,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4400,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4100,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4089,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3869,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3750,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3715,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3622,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3747,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOfUpto9999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3616,"Population With an Income of Up to $9,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1882,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1707,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1737,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1552,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1771,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1602,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1689,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1808,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1782,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1730,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1629,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1596,"Population With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2777,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2817,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3039,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2757,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2477,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2517,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2431,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2035,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2224,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2295,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2247,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf15000To24999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2164,"Population With an Income Between $15,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2609,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2809,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2703,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2846,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2942,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2897,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2776,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2818,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2972,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2758,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2497,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf25000To34999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2087,"Population With an Income Between $25,000 and $34,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3959,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3761,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3776,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3883,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4063,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4144,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4165,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3842,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3728,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3679,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3515,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf35000To49999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3357,"Population With an Income Between $35,000 and $49,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3110,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3145,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2951,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2964,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3100,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3274,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3214,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3231,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3350,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3170,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",3281,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf50000To64999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2906,"Population With an Income Between $50,000 and $64,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1637,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1508,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1557,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1812,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1821,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1793,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1893,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1839,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1648,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1586,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1677,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf65000To74999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1838,"Population With an Income Between $65,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4335,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4729,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",4815,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5043,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5262,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5365,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",5687,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6164,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6002,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6329,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",6738,"Population With an Income of $75,000 or More"
"geoId/02110","","Juneau City and Borough","Count_Person_IncomeOf75000OrMoreUSDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",7670,"Population With an Income of $75,000 or More"